City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Caravelas,BR,2021-01-15 16:06:39,-17.7125,-39.2481,85.51,57,0,10.0
179,Kangaatsiaq,GL,2021-01-15 16:06:40,68.3065,-53.4641,10.69,95,99,8.32
180,Santa Maria,BR,2021-01-15 16:06:40,-29.6842,-53.8069,84.2,65,20,12.66
181,Slave Lake,CA,2021-01-15 16:06:40,55.2834,-114.769,21.2,68,90,5.75
182,Tema,GH,2021-01-15 16:06:02,5.667,-0.0166,86.0,66,20,16.11
183,Faya,SA,2021-01-15 16:06:40,18.3851,42.4509,62.6,77,0,6.91
184,Beloha,MG,2021-01-15 16:06:40,-25.1667,45.05,80.89,73,1,13.09
185,Victoria,HK,2021-01-15 16:03:23,22.2855,114.1577,62.01,71,15,5.17
186,Hachinohe,JP,2021-01-15 16:02:33,40.5,141.5,32.47,92,100,8.93
187,Kutum,SD,2021-01-15 16:06:40,14.2,24.6667,68.31,22,90,5.44
188,Beringovskiy,RU,2021-01-15 16:06:41,63.05,179.3167,-13.65,88,51,9.84
189,Berlevag,NO,2021-01-15 16:06:41,70.8578,29.0864,37.4,81,75,16.11
190,Quelimane,MZ,2021-01-15 16:02:21,-17.8786,36.8883,87.8,66,40,13.8
191,Evensk,RU,2021-01-15 16:06:41,61.95,159.2333,-20.94,82,94,4.5
192,Ovre Ardal,NO,2021-01-15 16:06:41,61.3167,7.8,5.0,85,20,1.05
193,Itarema,BR,2021-01-15 16:06:41,-2.9248,-39.9167,88.54,54,39,15.35
194,Moshenskoye,RU,2021-01-15 16:06:41,58.5102,34.5911,-9.49,90,96,3.56
195,Hualmay,PE,2021-01-15 16:06:41,-11.0964,-77.6139,75.22,70,69,10.0
196,Sioux Lookout,CA,2021-01-15 16:06:41,50.1001,-91.917,30.2,86,90,2.3
197,Ilulissat,GL,2021-01-15 16:06:42,69.2167,-51.1,14.0,57,75,12.66
198,Castro,BR,2021-01-15 16:06:42,-24.7911,-50.0119,75.29,74,75,6.87
199,Necochea,AR,2021-01-15 16:03:21,-38.5473,-58.7368,81.0,62,60,11.07
200,Fortuna,US,2021-01-15 16:06:42,40.5982,-124.1573,51.01,100,1,9.22
201,Leh,IN,2021-01-15 16:06:42,34.1667,77.5833,18.54,57,90,1.36
202,Gat,IL,2021-01-15 16:06:42,31.61,34.7642,59.0,100,46,4.0
203,Yellowknife,CA,2021-01-15 16:06:42,62.456,-114.3525,5.0,92,90,14.97
204,Kemptville,CA,2021-01-15 16:06:43,45.0168,-75.641,33.01,86,52,3.44
205,Longyearbyen,SJ,2021-01-15 16:06:43,78.2186,15.6401,24.8,86,75,1.14
206,Ostrovnoy,RU,2021-01-15 16:06:43,68.0531,39.5131,20.98,95,100,4.56
207,Weyburn,CA,2021-01-15 16:06:43,49.6668,-103.8511,19.4,86,99,14.97
208,Yenagoa,NG,2021-01-15 16:06:43,4.9247,6.2642,84.13,69,94,8.34
209,Saint-Philippe,RE,2021-01-15 16:06:43,-21.3585,55.7679,80.6,89,20,14.97
210,Ayia Marina,GR,2021-01-15 16:06:43,37.75,23.5333,48.0,57,97,3.0
211,Kimbe,PG,2021-01-15 16:06:43,-5.5502,150.1429,75.99,87,99,2.17
212,Arman,RU,2021-01-15 16:06:44,59.7,150.1667,-18.24,76,0,5.79
213,Korla,CN,2021-01-15 16:06:44,41.7597,86.1469,20.73,81,66,12.75
214,Bonthe,SL,2021-01-15 16:06:44,7.5264,-12.505,88.48,48,34,0.76
215,Lodja,CD,2021-01-15 16:06:44,-3.4833,23.4333,74.21,82,97,2.59
216,Quatre Cocos,MU,2021-01-15 16:06:44,-20.2078,57.7625,82.4,83,40,10.36
217,Trincomalee,LK,2021-01-15 16:06:10,8.5711,81.2335,79.74,82,100,7.56
218,Nome,US,2021-01-15 16:01:49,64.5011,-165.4064,26.6,59,1,21.85
219,Nago,JP,2021-01-15 16:06:44,26.5881,127.9761,66.2,88,20,5.75
220,Opuwo,NA,2021-01-15 16:06:44,-18.0607,13.84,84.94,18,10,16.24
221,Foix,FR,2021-01-15 16:06:45,42.8333,1.5833,41.0,37,97,8.75
222,Bakchar,RU,2021-01-15 16:06:45,57.0186,82.0711,-5.39,90,100,7.94
223,Kailua,US,2021-01-15 16:06:45,21.4022,-157.7394,71.6,88,75,3.44
224,Holeby,DK,2021-01-15 16:06:45,54.7115,11.4642,30.0,77,77,1.99
225,Noumea,NC,2021-01-15 16:06:45,-22.2763,166.4572,81.0,94,90,3.44
226,Trinidad,BO,2021-01-15 16:06:45,-14.8333,-64.9,78.8,94,90,4.45
227,Sterling,US,2021-01-15 16:06:45,39.0062,-77.4286,46.0,65,75,10.36
228,Nabire,ID,2021-01-15 16:06:45,-3.3667,135.4833,77.09,89,100,4.56
229,Brigantine,US,2021-01-15 16:06:45,39.4101,-74.3646,53.01,71,1,13.8
230,Amposta,ES,2021-01-15 16:06:45,40.7131,0.581,57.0,69,36,15.99
231,Kabalo,CD,2021-01-15 16:06:46,-6.05,26.9167,67.84,97,100,2.66
232,Salalah,OM,2021-01-15 16:06:46,17.0151,54.0924,75.2,69,0,1.14
233,Varzea Paulista,BR,2021-01-15 16:02:06,-23.2114,-46.8283,78.8,69,75,8.05
234,Sanford,US,2021-01-15 16:02:49,28.8006,-81.2731,63.0,63,1,10.36
235,Pangnirtung,CA,2021-01-15 16:06:46,66.1451,-65.7125,-11.2,70,40,3.44
236,Petropavlovsk-Kamchatskiy,RU,2021-01-15 16:02:29,53.0452,158.6483,-0.4,71,80,8.95
237,Nakambala,ZM,2021-01-15 16:06:46,-15.8324,27.7799,74.84,87,75,4.76
238,Port Lincoln,AU,2021-01-15 16:06:46,-34.7333,135.8667,57.33,63,51,13.35
239,Madang,PG,2021-01-15 16:06:46,-5.2246,145.7966,76.26,87,100,5.14
240,Miles City,US,2021-01-15 16:06:47,46.4083,-105.8406,19.4,68,1,4.61
241,Qaanaaq,GL,2021-01-15 16:06:47,77.484,-69.3632,10.71,87,100,1.68
242,Nara,JP,2021-01-15 16:06:47,34.6851,135.8049,45.0,59,1,3.24
243,Wanaka,NZ,2021-01-15 16:06:47,-44.7,169.15,61.0,59,0,1.01
244,Umea,SE,2021-01-15 16:06:47,63.8284,20.2597,23.0,86,75,8.05
245,Bambous Virieux,MU,2021-01-15 16:06:47,-20.3428,57.7575,82.4,83,40,10.36
246,Mogapi,BW,2021-01-15 16:06:47,-22.323,27.8349,75.2,88,75,10.36
247,Bezhanitsy,RU,2021-01-15 16:06:47,56.9767,29.8907,0.7,92,100,5.84
248,Ribas Do Rio Pardo,BR,2021-01-15 16:06:48,-20.4431,-53.7592,85.21,57,79,8.23
249,Taoudenni,ML,2021-01-15 16:06:48,22.6783,-3.9836,71.31,17,11,14.36
250,Porto Novo,BJ,2021-01-15 16:06:48,6.4965,2.6036,86.0,74,20,14.97
251,Labuhan,ID,2021-01-15 16:06:48,-6.8844,112.2051,78.49,86,100,8.08
252,Tiksi,RU,2021-01-15 16:06:48,71.6872,128.8694,-14.6,89,100,6.73
253,Kajaani,FI,2021-01-15 16:06:48,64.2273,27.7285,5.0,85,90,5.75
254,Sibu,MY,2021-01-15 16:06:48,2.3,111.8167,75.2,100,40,2.3
255,Mecca,SA,2021-01-15 16:03:01,21.4267,39.8261,74.75,55,13,10.56
256,Grindavik,IS,2021-01-15 16:06:49,63.8424,-22.4338,37.4,87,90,23.02
257,Spornoye,RU,2021-01-15 16:06:49,50.8448,37.2913,24.8,93,75,8.95
258,Taltal,CL,2021-01-15 16:06:49,-25.4,-70.4833,68.43,61,15,7.49
259,Acarau,BR,2021-01-15 16:06:49,-2.8856,-40.12,88.84,53,50,15.64
260,Kerman,IR,2021-01-15 16:06:49,30.2832,57.0788,55.4,13,75,4.61
261,Mersing,MY,2021-01-15 16:06:49,2.4312,103.8405,77.0,88,95,5.75
262,Hirara,JP,2021-01-15 16:06:49,24.8,125.2833,68.86,77,27,17.27
263,Bubaque,GW,2021-01-15 16:06:49,11.2833,-15.8333,78.48,62,57,10.45
264,Ketchikan,US,2021-01-15 16:06:49,55.3422,-131.6461,44.6,81,90,9.22
265,Basoko,CD,2021-01-15 16:06:50,1.2391,23.616,85.59,51,6,0.94
266,Mahanoro,MG,2021-01-15 16:06:50,-19.9,48.8,80.85,82,46,5.61
267,Bilhaur,IN,2021-01-15 16:06:50,26.85,80.0833,54.82,48,0,3.47
268,Manggar,ID,2021-01-15 16:06:50,-2.8833,108.2667,78.94,75,100,5.59
