,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Prieska,ZA,76.59,moderate rain,-29.6641,22.7474,Avenue GuestHouse
221,Kihei,US,82.4,scattered clouds,20.785,-156.4656,Maui Sunset
226,Iracoubo,GF,76.86,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
228,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
229,Tual,ID,84.04,moderate rain,-5.6667,132.75,Grand Vilia Hotel
235,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
236,Salinopolis,BR,80.28,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
238,Sambava,MG,78.4,scattered clouds,-14.2667,50.1667,Melrose
240,Camocim,BR,80.58,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
241,Tecoanapa,MX,82.51,overcast clouds,16.5167,-98.75,Hotel Manglares
244,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Sulangan,PH,79.83,overcast clouds,11.1373,123.7228,Maia's Beach Resort
254,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
258,Coolum Beach,AU,79.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
259,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
262,Yenagoa,NG,76.55,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
264,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
268,Saint-Paul,RE,75.2,light rain,-21.0096,55.2707,Boucan Canot
272,Alyangula,AU,77.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
273,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
274,Lorengau,PG,84.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
275,Hambantota,LK,75.2,moderate rain,6.1241,81.1185,Bungalow 63
276,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
277,Isangel,VU,77.0,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
278,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
279,Tevaitoa,PF,81.54,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
281,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
283,Hunucma,MX,77.0,broken clouds,21.0167,-89.8667,Casa de Maribel Pamplona Poot
284,Comodoro Rivadavia,AR,82.4,clear sky,-45.8667,-67.5,Austral Hotel
293,Ferkessedougou,CI,75.15,clear sky,9.6,-5.2,Hotel Chateau
300,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
302,Cabo San Lucas,MX,75.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
306,Todos Santos,MX,75.99,clear sky,23.45,-110.2167,Hotel California Todos Santos
309,Luziania,BR,75.2,light rain,-16.2525,-47.9503,HOTEL SARON
